region,annual_rainfall_mm,seasonal_rainfall_mm,cloud_visibility_km,humidity_percent,temperature_c,days_continuous_rainfall,river_discharge_cumecs,flood_occurred
Guwahati,941.1,485.4,9.59,55.1,30.6,0.0,1603.7,0
Kochi,1509.4,1063.3,6.93,69.5,28.0,1.3,3147.6,0
Surat,1936.8,1085.4,9.77,64.5,38.5,5.9,2642.3,0
Surat,2830.9,1647.9,4.48,74.8,33.1,9.0,4764.7,1
Kurnool,1944.3,1311.5,8.28,70.7,22.3,2.6,3493.4,0
Chennai,2699.4,1412.2,7.83,72.8,27.4,5.3,3573.0,1
Guwahati,2216.5,1957.3,4.61,69.9,38.9,3.9,4933.7,1
Lucknow,2857.8,1860.8,4.85,74.3,25.1,4.8,5038.6,1
Bhubaneswar,1761.6,1072.0,6.06,69.1,29.3,4.4,3438.8,1
Kolkata,3353.6,1553.2,4.98,59.8,33.9,4.6,4858.3,1
Lucknow,1484.5,1231.3,6.71,76.4,31.6,0.6,2918.5,0
Kochi,1301.8,952.4,7.37,77.2,32.2,6.9,3540.4,0
Kolkata,1013.5,646.0,6.27,66.5,32.0,2.2,2422.2,0
Surat,3315.2,1858.1,7.82,76.7,29.1,4.5,4593.2,1
Kochi,2332.6,1831.9,5.07,75.1,25.8,6.9,5377.9,1
Kolkata,1582.8,1385.7,6.43,65.6,30.7,4.9,3992.6,0
Kochi,2611.9,1622.9,5.14,69.0,27.4,6.7,4047.7,1
Kurnool,2247.0,1147.5,6.61,71.2,27.1,3.5,3583.2,1
Surat,3078.0,1536.3,5.63,63.1,34.9,6.2,4109.1,1
Lucknow,793.9,359.5,8.68,51.9,27.5,3.2,1700.8,0
Guwahati,1627.5,1277.2,6.59,64.2,35.8,2.0,3238.5,0
Surat,1499.4,1336.9,7.36,71.0,30.0,3.5,3915.4,0
Guwahati,517.1,463.7,8.7,54.0,28.4,3.4,2469.3,0
Bhubaneswar,2489.2,1998.6,5.75,71.8,21.7,6.1,5070.2,1
Surat,1624.2,849.5,7.57,62.1,37.5,2.9,2592.0,0
Kochi,2280.8,2029.8,5.16,67.3,29.0,6.4,4404.4,1
Patna,3333.9,1992.0,4.72,58.4,19.9,6.4,4869.9,1
Chennai,1570.4,942.4,8.47,57.4,33.0,2.4,2409.1,0
Bhubaneswar,1526.3,1158.9,7.23,67.1,28.8,1.7,3212.3,0
Kolkata,1877.1,886.1,7.32,65.9,25.3,4.1,2847.7,0
Surat,2441.7,2006.1,4.75,76.1,32.7,9.4,5174.6,1
Guwahati,1431.6,1286.7,6.47,70.3,18.8,4.3,3694.3,0
Varanasi,1389.9,1110.2,7.02,61.3,26.1,5.9,3481.9,0
Bhubaneswar,2487.2,1994.1,4.92,68.0,27.8,6.2,4122.4,1
Lucknow,2046.1,1280.1,5.99,68.8,32.4,3.5,3972.0,1
Kurnool,470.9,225.9,9.83,55.8,38.0,1.6,1807.7,0
Kochi,1003.5,809.5,8.58,67.8,28.0,3.8,2616.5,0
Lucknow,2775.8,1995.0,6.94,75.4,30.8,7.0,5372.4,1
Varanasi,2061.3,1771.0,4.83,78.7,40.0,7.8,4790.2,1
Surat,1304.6,655.1,8.75,58.1,29.0,0.0,1337.5,0
Varanasi,1689.2,992.1,5.15,70.4,30.9,3.0,3809.7,0
Varanasi,1808.6,1107.4,7.9,77.2,24.1,5.9,3806.3,0
Kochi,2278.2,1725.7,3.99,71.0,36.8,8.2,5263.7,1
Varanasi,917.1,737.8,6.75,64.7,26.1,4.3,2535.7,0
Patna,1253.4,1106.1,7.36,59.4,30.1,6.0,3967.2,0
Patna,1977.4,1152.7,6.21,70.8,30.0,3.4,2738.6,1
Bhubaneswar,1735.1,1166.2,6.02,72.3,29.3,0.8,2898.8,0
Bhubaneswar,2171.7,1005.6,6.69,61.1,27.3,3.1,3281.1,0
Guwahati,1000.8,564.3,9.02,63.6,30.0,3.3,1963.0,0
Varanasi,2032.1,1256.5,5.63,68.1,36.0,6.2,4164.1,1
Guwahati,2509.5,1799.9,5.36,73.6,38.1,5.5,4817.5,1
Varanasi,2116.4,1400.8,5.91,72.6,28.3,3.1,3782.1,1
Kurnool,1890.4,1160.7,7.77,68.6,27.2,2.5,2897.6,0
Lucknow,1737.7,1270.0,7.56,65.7,25.8,3.5,3669.4,0
Lucknow,1257.3,1034.6,5.14,69.4,39.7,0.0,3435.4,0
Lucknow,1753.2,979.6,8.43,70.5,29.5,2.5,2932.8,0
Bhubaneswar,2618.8,1582.5,5.24,66.0,33.5,5.8,4570.5,1
Surat,1722.6,1321.6,6.77,67.0,31.8,4.6,4011.5,0
Lucknow,1221.6,977.4,6.25,53.2,37.8,2.9,2447.2,0
Patna,1480.0,1215.7,7.16,69.5,28.0,3.0,3298.5,0
Lucknow,1930.6,1050.6,9.93,71.9,24.6,2.7,2945.2,0
Chennai,1557.2,1078.6,7.2,63.2,36.4,2.8,2227.3,1
Surat,2115.4,1808.7,4.9,72.2,32.6,8.0,5327.0,1
Chennai,2139.8,1340.4,6.21,65.8,30.8,4.9,3422.5,0
Chennai,2377.8,1530.0,4.42,66.6,35.1,11.9,5251.2,1
Kurnool,2725.3,2434.2,5.58,78.4,31.1,8.2,5856.9,1
Guwahati,2447.3,1225.8,7.07,61.4,35.3,5.3,4461.3,1
Patna,1192.7,915.5,6.27,61.9,30.0,2.7,2660.0,0
Guwahati,1212.7,1009.7,6.1,58.7,32.6,3.0,3744.6,0
Surat,1750.7,906.6,7.46,66.7,31.1,6.4,3132.0,0
Bhubaneswar,1506.7,1162.5,7.89,67.0,27.7,6.2,3615.9,1
Bhubaneswar,1060.1,701.1,6.65,58.8,28.2,0.0,2688.7,0
Surat,1512.9,1261.5,7.87,66.6,27.4,2.5,3006.7,0
Varanasi,1491.6,1280.3,6.5,65.3,30.1,4.4,3648.5,0
Chennai,1363.3,1148.7,5.88,72.3,27.2,3.1,3458.9,1
Kurnool,1594.7,763.8,7.26,59.3,30.7,0.0,2336.4,0
Lucknow,2566.0,2028.6,6.83,77.2,30.6,7.6,5378.6,1
Chennai,1929.5,1668.4,4.19,65.9,29.8,2.3,4040.1,1
Bhubaneswar,3406.7,2485.5,3.07,82.4,29.9,9.3,6723.6,1
Chennai,1910.8,1376.6,7.43,73.7,26.7,6.4,4122.2,1
Chennai,1611.5,757.8,8.02,68.4,27.9,4.5,3089.5,0
Kurnool,1802.7,1505.6,5.22,77.5,22.3,5.2,4286.9,1
Chennai,1966.7,926.1,8.46,65.1,28.5,6.4,3492.3,0
Lucknow,2082.9,1231.2,7.83,73.6,25.1,5.1,4084.4,1
Kochi,3149.9,2729.8,3.68,89.5,29.4,11.6,6979.5,1
Bhubaneswar,1250.5,1097.2,6.34,58.2,26.1,2.5,3517.9,0
Kurnool,2358.4,2113.9,4.21,70.5,20.8,10.7,5826.7,1
Kochi,1935.0,1285.6,6.9,57.7,38.0,4.7,3112.1,1
Surat,778.8,412.6,7.12,65.1,28.1,4.6,1968.9,0
Kolkata,2301.0,1540.7,7.47,59.9,34.8,8.3,4279.9,1
Patna,2624.0,1301.6,8.42,56.1,26.9,5.2,3920.7,1
Patna,1242.8,1047.3,6.87,57.9,35.8,4.6,3123.5,0
Surat,1794.2,1260.0,7.04,56.0,24.4,4.2,3623.7,0
Kolkata,678.5,428.8,9.83,60.5,29.7,0.0,1977.6,0
Varanasi,981.8,476.9,10.0,52.8,24.6,2.9,2603.0,0
Kurnool,2481.2,1569.0,7.66,59.1,39.4,6.8,4554.1,1
Patna,1496.8,1257.0,4.74,66.1,28.0,1.3,3654.9,1
Varanasi,1079.3,827.3,7.28,62.6,32.3,2.8,2558.1,0
Kurnool,1949.1,949.4,7.9,52.4,30.8,5.2,2504.9,0
Varanasi,1460.4,762.3,7.23,57.6,28.9,5.7,2383.6,0
Patna,1494.0,936.0,9.34,63.0,31.1,4.8,2987.6,0
Kolkata,2280.6,1130.3,8.73,63.1,34.4,1.1,3280.1,0
Patna,1044.9,909.4,6.54,61.3,31.7,1.2,2502.0,0
Surat,1211.5,900.8,7.28,70.2,29.6,2.6,3204.4,0
Bhubaneswar,1900.2,936.1,6.56,76.4,31.1,6.2,3960.5,0
Guwahati,2430.1,1955.3,4.86,70.8,36.7,5.9,4668.8,1
Chennai,2604.8,1604.0,5.62,61.6,27.3,7.9,5488.6,1
Chennai,1367.7,766.2,8.81,60.5,21.6,1.5,1708.8,0
Lucknow,2409.3,1702.2,4.67,71.6,24.6,7.2,5471.3,1
Kolkata,1290.3,588.4,5.29,60.0,24.9,0.3,1875.9,0
Bhubaneswar,2987.0,1969.7,3.27,76.5,25.5,6.7,5062.3,1
Surat,1063.0,882.0,6.37,76.3,25.6,0.9,2496.3,0
Surat,2663.5,2310.9,3.55,65.7,28.9,11.3,5990.8,1
Surat,1373.3,829.7,7.83,59.5,30.0,1.6,3088.0,0
Varanasi,3108.6,2297.6,3.11,85.1,29.9,5.2,5286.5,1
Kochi,2184.4,1205.9,5.44,62.8,26.1,1.1,2878.9,0
Guwahati,1139.6,800.1,6.67,67.0,33.0,2.7,2015.9,0
Kochi,1460.5,824.2,6.41,66.3,31.1,2.1,2239.7,0
Kurnool,2307.8,1631.8,5.19,77.2,35.3,7.2,4322.4,1
Guwahati,2484.2,1309.9,5.88,78.3,32.4,4.3,3363.9,1
Kurnool,1754.0,1532.2,6.79,70.9,27.6,7.9,4433.8,1
Lucknow,1829.0,1553.1,4.89,58.6,34.2,4.9,3732.3,1
Lucknow,2292.9,1379.5,5.98,63.3,30.1,7.1,4767.0,1
Bhubaneswar,1885.7,1507.6,5.49,81.8,32.2,3.6,3879.4,1
Surat,959.2,472.9,9.32,50.8,31.9,0.0,1800.8,0
Lucknow,1271.6,995.8,7.08,67.0,28.5,2.0,3172.6,0
Guwahati,1952.8,1127.0,8.1,50.1,29.4,1.8,3857.7,0
Kolkata,2590.1,1323.6,5.24,58.9,28.5,2.3,3824.2,1
Chennai,2850.4,2152.6,4.57,79.8,25.6,8.6,5610.7,1
Kolkata,2306.7,1525.7,5.41,69.0,20.4,5.0,3717.0,1
Guwahati,1986.7,1368.0,5.05,65.1,26.2,5.2,4026.4,1
Surat,2286.7,1564.7,5.88,64.3,29.8,6.7,4848.2,1
Bhubaneswar,1366.6,651.5,9.93,48.9,33.3,0.0,2029.5,0
Surat,1700.4,804.5,6.74,66.4,32.2,4.1,2760.7,0
Surat,1264.3,911.0,7.3,61.6,27.9,0.9,2632.0,0
Guwahati,988.3,722.2,6.42,52.4,26.3,1.5,1527.6,0
Kochi,2016.8,950.4,5.74,63.8,28.3,0.0,2569.3,0
Patna,1920.6,1191.3,5.94,69.3,25.1,5.6,3912.4,1
Kochi,2247.0,1630.8,5.31,68.6,20.5,2.5,4020.9,1
Bhubaneswar,2155.0,1606.5,5.42,70.2,22.8,3.4,4551.7,1
Bhubaneswar,1957.7,1610.7,5.6,69.8,34.5,3.6,4591.6,1
Bhubaneswar,2161.8,1382.1,4.56,63.3,36.4,4.8,3656.2,1
Kochi,1772.3,1234.8,6.02,66.5,32.0,4.2,3697.9,0
Kolkata,2068.4,1469.3,6.72,72.7,28.8,6.9,4295.5,0
Kurnool,1328.0,784.1,6.23,68.3,23.4,2.6,1715.7,0
Kochi,2040.3,967.6,6.92,68.5,28.4,5.4,3119.2,0
Guwahati,2234.5,1009.8,7.54,60.1,31.4,4.4,2735.3,1
Kochi,1364.7,1127.6,6.09,69.0,32.3,2.2,3146.6,1
Kolkata,1833.7,990.4,7.63,66.8,31.8,2.3,3126.3,0
Kochi,1394.7,1023.1,5.51,60.0,33.8,6.7,3362.0,0
Kolkata,1457.8,1034.5,8.13,61.6,36.8,6.2,3046.5,0
Surat,1068.8,673.2,8.38,65.2,27.4,4.1,2595.7,0
Bhubaneswar,2622.8,2164.0,4.66,82.9,40.2,9.8,6842.8,1
Surat,2492.7,1905.1,6.42,61.4,20.9,7.8,4300.3,1
Patna,2149.3,989.2,6.9,73.8,25.9,4.3,3184.2,1
Lucknow,3081.9,2464.0,3.24,84.3,29.8,9.0,6101.0,1
Kolkata,1677.0,1137.3,8.43,66.5,31.2,7.5,3578.8,0
Patna,3770.6,2285.6,6.35,74.3,28.3,7.4,5754.5,1
Lucknow,1652.1,1283.8,5.83,69.0,27.0,5.1,3589.2,1
Patna,1965.9,1491.6,6.0,64.7,37.8,2.0,3964.1,1
Lucknow,1541.4,909.1,8.59,62.2,26.8,0.4,2391.5,1
Lucknow,2042.0,1822.2,5.29,62.7,24.9,10.2,4443.2,1
Surat,2343.1,1738.4,6.22,60.3,35.8,7.5,5344.9,1
Lucknow,1726.0,1247.2,7.53,80.3,32.4,4.1,3987.8,0
Patna,2954.9,1422.6,5.66,68.3,33.4,5.3,3755.3,1
Kurnool,1955.4,1125.7,7.41,66.4,29.8,1.4,3009.7,0
Kurnool,1975.8,1286.5,6.58,66.5,23.5,3.8,4059.4,0
Surat,1209.2,887.3,6.15,58.1,29.3,0.3,2846.1,0
Kolkata,2072.0,1410.5,5.22,65.9,22.9,4.5,4424.3,1
Guwahati,1712.9,1358.9,5.7,67.9,30.0,6.3,4150.0,1
Surat,1404.6,798.1,8.71,61.0,31.6,3.8,3000.1,0
Lucknow,1295.3,992.2,8.31,59.5,33.3,6.8,3962.2,1
Patna,3536.6,2891.1,3.78,84.1,28.6,11.1,7194.4,1
Lucknow,1628.7,1293.7,7.05,67.8,32.0,0.0,3304.8,1
Kochi,853.0,679.7,8.41,63.5,25.4,6.4,1928.5,0
Varanasi,1346.2,1144.0,7.21,69.6,32.9,2.5,2522.9,0
Chennai,1766.5,861.8,8.0,61.8,31.7,3.4,2964.9,0
Chennai,2155.3,1646.1,6.3,68.9,25.8,6.2,4764.2,1
Guwahati,2160.6,1914.1,3.62,81.2,31.1,7.4,4980.5,1
Surat,2239.8,1586.1,5.04,63.7,33.4,5.8,4113.6,1
Varanasi,1380.8,756.4,6.66,50.6,29.3,2.9,2364.0,0
Kurnool,2021.3,1818.0,6.6,74.8,25.7,3.9,4622.5,1
Lucknow,1230.6,650.5,9.85,57.1,29.7,7.5,1949.1,0
Surat,1397.2,839.7,5.21,56.1,31.2,4.3,3019.2,0
Lucknow,1203.5,634.8,9.78,66.1,25.7,2.4,2244.0,0
Bhubaneswar,1027.5,677.2,8.06,60.3,25.0,6.1,2854.4,0
Surat,2491.7,1591.0,7.01,61.8,31.1,3.6,4048.7,1
Kochi,2247.6,1508.3,6.64,80.3,32.3,7.2,3825.8,1
Bhubaneswar,2434.8,2112.4,6.3,64.5,37.6,6.5,4948.3,1
Guwahati,1825.6,1214.4,6.98,65.5,31.7,5.2,4220.0,0
Chennai,2304.9,1571.0,4.44,57.9,24.2,6.5,4155.7,1
Kurnool,655.2,556.2,8.12,61.7,37.2,0.0,2124.4,0
Bhubaneswar,2361.0,1931.3,5.69,68.6,33.2,4.1,4339.5,1
Bhubaneswar,1915.1,1068.4,6.84,69.6,21.0,7.0,3562.4,1
Kurnool,2207.6,1006.3,7.94,64.0,24.9,3.1,2812.0,0
Lucknow,2047.0,1501.0,6.03,76.7,27.0,9.4,4519.9,1
Surat,1158.4,961.7,6.67,61.1,32.4,6.1,3127.6,0
Lucknow,826.3,577.4,7.0,50.6,19.5,1.7,2615.0,0
Kurnool,1337.2,728.8,7.42,63.0,28.5,2.0,3125.7,0
Guwahati,2167.2,1698.2,5.88,68.9,32.1,9.4,5085.9,1
Surat,2248.6,1689.3,3.52,59.4,17.7,10.3,4914.9,1
Guwahati,910.8,641.5,7.19,54.5,32.0,1.8,1633.1,0
Kochi,1162.3,974.6,5.1,59.4,32.5,6.6,2787.9,0
Bhubaneswar,1329.9,1067.8,6.4,74.0,25.6,5.9,4013.2,1
Guwahati,1567.8,1176.7,8.15,69.9,24.4,6.7,3130.9,0
Bhubaneswar,914.7,685.2,6.64,59.1,25.6,2.7,2179.5,0
Guwahati,875.7,655.0,8.79,63.8,18.3,1.0,2164.5,0
Guwahati,1265.8,868.8,10.0,50.6,27.7,1.0,1447.8,0
Chennai,1856.1,1222.7,8.33,62.7,29.9,1.8,2719.2,0
Lucknow,1032.6,794.4,7.85,64.6,24.1,6.7,2498.6,0
Guwahati,1724.7,1249.9,7.61,67.3,32.9,4.6,3329.7,1
Patna,2488.1,1668.2,4.22,66.9,29.4,3.8,4356.9,1
Kolkata,953.8,483.6,6.67,59.2,30.0,3.8,2532.4,0
Kolkata,1665.8,1275.8,6.64,68.6,27.4,3.7,3270.8,0
Chennai,2466.1,1826.6,5.8,71.5,32.0,5.3,4541.2,1
Surat,1528.1,923.0,8.61,68.5,34.2,7.5,3311.2,0
Kochi,1427.1,871.0,6.9,64.8,27.4,0.5,2105.0,0
Bhubaneswar,2556.3,1434.1,6.47,71.1,32.0,5.7,4228.5,1
Chennai,1601.0,1413.4,6.47,78.1,32.1,3.9,3996.4,1
Patna,2517.9,2107.7,4.58,79.1,30.7,6.1,4241.6,1
Kurnool,2078.8,1460.3,6.11,78.7,35.7,2.4,3967.9,1
Guwahati,1577.2,994.8,6.31,60.0,26.1,3.7,3088.3,0
Kolkata,2111.8,1650.5,6.07,60.4,27.3,4.2,4382.3,1
Surat,2008.3,1380.7,6.59,66.7,25.9,6.2,4499.2,1
Surat,2463.6,2190.4,4.06,73.5,31.9,7.8,4969.4,1
Surat,1443.6,685.4,8.68,70.0,27.9,1.9,1754.5,0
Lucknow,1826.8,850.2,8.71,55.9,26.2,1.3,2463.6,0
Kurnool,1760.0,1242.4,7.43,65.8,35.7,7.4,2991.2,1
Kurnool,2257.7,1222.5,5.58,68.5,36.2,5.9,3623.9,1
Patna,1133.6,818.4,7.76,63.0,27.7,1.6,2803.9,0
Surat,2461.0,1972.9,4.03,71.8,23.5,4.4,5041.4,1
Bhubaneswar,2103.1,1077.1,7.17,66.9,36.5,0.1,2785.6,0
Surat,944.0,612.0,7.12,67.0,30.9,4.5,2347.5,0
Surat,2585.4,1964.6,6.46,82.0,30.7,8.9,5237.6,1
Kolkata,3252.2,2683.8,4.28,79.5,29.4,11.8,6854.7,1
Guwahati,2451.2,1650.5,7.03,65.1,25.8,5.7,4551.2,0
Chennai,2727.5,1480.4,7.3,77.6,27.3,7.0,3681.5,1
Chennai,1855.5,1324.1,6.2,60.5,31.7,6.9,4590.8,1
Surat,720.0,471.3,7.96,70.0,27.2,1.6,1541.4,0
Varanasi,601.3,479.5,10.0,67.4,30.7,1.0,2008.6,0
Patna,1965.8,1376.1,6.2,76.4,29.1,3.0,3673.1,1
Kolkata,1415.2,814.8,6.16,66.5,24.8,3.8,2261.7,0
Kochi,1205.5,951.7,8.45,50.9,35.5,4.6,3578.2,0
Chennai,1759.2,1201.5,6.94,59.6,31.4,3.5,3820.2,0
Chennai,2200.1,1165.8,8.52,67.4,30.3,3.6,2707.8,0
Varanasi,855.7,601.9,8.4,56.4,31.2,1.7,2063.5,0
Surat,1508.2,1322.3,6.48,65.1,21.8,6.4,4028.0,0
Patna,2781.4,2134.7,6.34,78.0,27.0,5.0,4412.2,1
Kurnool,1101.1,643.5,6.35,59.8,22.9,0.1,1124.7,0
Kochi,2365.3,1821.1,4.73,64.2,29.5,4.4,4275.6,1
Varanasi,1484.9,857.1,6.58,68.1,30.3,2.8,2154.4,0
Kurnool,2154.8,1495.9,3.7,71.6,29.6,6.1,3801.2,1
Varanasi,2513.3,1726.5,6.55,69.1,33.7,4.1,3876.7,1
Chennai,2281.8,1280.9,5.99,70.9,23.0,6.5,3831.6,1
Guwahati,2391.0,1450.2,7.21,68.7,25.8,8.2,4035.1,1
Kochi,1051.5,919.0,7.85,71.3,30.7,4.2,3398.6,0
Chennai,2523.9,1420.4,6.95,68.8,30.1,7.4,4315.8,1
Kochi,1245.7,1009.6,6.71,72.1,23.7,1.8,3154.4,0
Guwahati,1968.7,1477.2,5.31,57.1,33.8,3.6,3211.9,1
Bhubaneswar,1967.9,1357.2,6.53,70.0,35.2,5.9,3705.3,1
Bhubaneswar,2115.3,1082.8,8.06,62.4,30.7,3.8,3265.1,0
Guwahati,2019.0,1094.4,6.97,59.8,23.0,2.2,3212.6,0
Patna,1251.5,664.0,7.22,68.0,29.6,5.3,2366.8,0
Patna,922.6,658.8,6.69,66.3,30.4,3.0,2143.5,0
Bhubaneswar,2367.0,2102.0,4.96,62.0,27.9,9.0,5509.4,1
Lucknow,1920.8,1622.6,5.22,74.0,34.4,4.5,4145.2,1
Lucknow,2547.1,1175.1,6.76,69.2,28.5,7.6,4695.0,1
Kolkata,1770.9,1015.1,6.94,59.9,37.4,3.4,3156.3,1
Lucknow,886.6,461.7,7.97,54.2,32.1,3.7,2092.4,0
Kochi,2428.0,2158.6,4.93,65.0,30.1,6.7,4980.6,1
Guwahati,1559.3,867.0,8.15,60.8,32.7,3.5,2283.9,0
Bhubaneswar,2022.3,1093.2,9.19,63.8,35.1,5.1,3291.8,0
Kolkata,1379.2,1005.9,8.06,68.9,32.6,7.6,3979.1,0
Kolkata,2868.8,2009.0,6.7,74.8,28.7,6.4,5104.4,1
Patna,1230.2,678.6,7.06,54.8,26.4,2.9,2302.7,0
Patna,1580.7,1188.1,5.05,67.2,24.5,5.5,3299.6,1
Kurnool,1869.8,923.1,7.39,61.8,19.2,0.5,1826.6,0
Guwahati,1090.1,500.0,9.31,53.9,29.7,0.0,1874.8,0
Chennai,2014.8,981.4,8.05,54.4,27.4,1.6,2652.5,0
Chennai,2847.7,1749.1,6.87,74.6,27.7,8.3,5119.3,1
Kochi,1481.2,1316.4,3.73,69.6,33.1,8.2,4215.7,1
Kochi,2056.8,1432.1,7.64,71.3,28.6,3.3,3393.3,0
Varanasi,300.0,236.9,9.33,52.8,36.6,0.0,1316.6,0
Surat,1774.7,1055.4,5.41,65.6,26.7,6.9,3010.4,0
Varanasi,1596.5,1235.2,7.5,57.9,25.1,3.3,3511.8,0
Kolkata,1268.0,1121.9,7.15,59.2,24.0,3.3,3192.8,0
Kochi,2502.9,1529.3,6.46,69.1,31.9,8.5,5184.0,1
Patna,1587.9,1428.5,7.36,69.5,33.6,7.8,3956.3,1
Kolkata,1684.6,1242.1,7.16,56.5,26.6,6.4,3269.2,0
Bhubaneswar,1554.8,1223.4,5.11,59.7,24.7,1.0,2958.1,0
Patna,554.1,312.2,8.64,55.6,35.1,0.0,1605.6,0
Bhubaneswar,1064.2,786.9,5.94,67.9,23.2,5.1,1708.3,0
Chennai,2424.7,1648.7,6.48,65.1,33.0,6.6,4911.0,1
Kolkata,428.5,377.3,10.0,59.3,26.7,0.0,1395.6,0
Patna,1301.9,1115.9,5.61,66.6,30.6,3.4,2754.3,1
Kolkata,1540.2,968.0,6.57,62.3,33.3,5.7,3082.8,0
Kolkata,2933.4,2569.9,2.71,79.9,30.9,12.4,6613.4,1
Guwahati,2299.6,1950.4,4.58,64.6,27.8,7.1,4667.3,1
Guwahati,1437.8,1029.0,7.62,60.4,34.6,2.4,2159.3,0
Chennai,2647.9,1289.4,6.09,75.3,30.2,4.1,3907.7,1
Kurnool,1318.7,688.8,8.66,70.3,42.0,5.2,2437.9,0
Patna,2455.9,1190.1,7.98,70.8,22.2,7.0,3620.7,1
Surat,916.7,457.1,9.68,65.7,22.1,2.0,2206.0,0
Kolkata,2497.6,2222.0,3.24,64.2,33.0,7.0,5660.9,1
Kolkata,1536.0,837.9,9.13,56.9,28.9,5.2,2308.5,0
Guwahati,1131.5,860.9,9.16,60.9,32.2,6.4,3382.6,0
Varanasi,1658.9,1221.6,8.44,80.6,24.6,1.5,3774.8,0
Kurnool,1980.3,1453.6,6.03,66.3,29.2,4.8,4193.8,1
Lucknow,1478.4,802.8,6.86,66.7,30.8,5.2,2525.5,0
Varanasi,2160.1,1535.2,4.94,71.2,26.8,5.7,3659.4,1
